CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,4,-,4.5,245.16,33.95,848.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,8,-,2.3,479.03,66.34,829.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,16,-,2.02,545.1,75.49,471.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,24,-,2.03,542.15,75.08,312.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12288,1,1,4,-,15.16,244.75,37.56,939.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12288,1,1,8,-,7.83,473.69,72.69,908.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12288,1,1,16,-,7.51,494.32,75.86,474.12
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12288,1,1,24,-,7.14,519.8,79.77,332.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,4,-,15.09,246.59,37.93,948.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,8,-,7.75,480.16,73.86,923.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,16,-,6.96,535.12,82.32,514.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,24,-,7.2,516.98,79.53,331.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,4,-,35.75,246.77,37.99,949.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,8,-,18.59,474.5,73.04,913.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,16,-,16.32,540.59,83.21,520.06
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,24,-,17.08,516.35,79.48,331.17
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,4,-,36.17,243.17,37.66,941.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,8,-,18.77,468.5,72.56,907.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,16,-,17.66,497.94,77.12,482.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,24,-,17.9,491.32,76.09,317.04
