CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8192,1,1,16,128,14.19,77.47,1.24,7.76
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8192,1,1,24,16,8.57,128.24,2.05,8.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8192,1,1,24,32,13.43,81.87,1.31,5.47
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8192,1,1,24,64,14.2,77.46,1.24,5.17
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8192,1,1,24,128,12.47,88.19,1.41,5.89
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,4,16,24.18,45.61,0.73,18.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,4,32,14.18,77.77,1.24,31.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,4,64,11.4,96.77,1.55,38.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,4,128,13.3,82.92,1.33,33.18
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,8,16,12.22,90.22,1.44,18.05
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,8,32,8.62,127.9,2.05,25.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,8,64,6.73,163.78,2.62,32.77
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,8,128,7.16,153.97,2.46,30.8
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,16,16,9.74,113.26,1.81,11.33
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,16,32,6.67,165.23,2.64,16.53
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,16,64,5.5,200.42,3.21,20.05
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,16,128,6.65,165.82,2.65,16.59
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,24,16,7.74,142.49,2.28,9.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,24,32,7.38,149.44,2.39,9.97
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,24,64,5.24,210.25,3.37,14.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,8200,1,1,24,128,7.12,154.92,2.48,10.33
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,4,16,75.4,49.22,0.79,19.67
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,4,32,50.44,73.56,1.18,29.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,4,64,107.72,34.45,0.55,13.76
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,4,128,104.57,35.49,0.57,14.18
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,8,16,38.0,97.65,1.56,19.51
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,8,32,28.64,129.55,2.07,25.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,8,64,56.85,65.28,1.04,13.04
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,8,128,56.19,66.04,1.06,13.19
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,16,16,34.96,106.14,1.7,10.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,16,32,27.22,136.3,2.18,13.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,16,64,41.51,89.4,1.43,8.93
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,16,128,45.35,81.83,1.31,8.17
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,24,16,28.37,130.8,2.09,8.71
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,24,32,26.28,141.23,2.26,9.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,24,64,34.12,108.75,1.74,7.24
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12288,1,1,24,128,36.84,100.73,1.61,6.71
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,4,16,69.47,53.57,0.86,21.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,4,32,45.46,81.86,1.31,32.77
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,4,64,42.55,87.47,1.4,35.01
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,4,128,103.67,35.9,0.57,14.37
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,8,16,35.22,105.68,1.69,21.15
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,8,32,28.5,130.56,2.09,26.13
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,8,64,25.05,148.56,2.38,29.73
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,8,128,32.03,116.2,1.86,23.26
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,16,16,29.3,127.01,2.03,12.71
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,16,32,22.71,163.87,2.62,16.4
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,16,64,20.63,180.42,2.89,18.05
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,16,128,26.53,140.26,2.25,14.04
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,24,16,27.96,133.11,2.13,8.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,24,32,26.66,139.59,2.24,9.31
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,24,64,26.44,140.76,2.25,9.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,12300,1,1,24,128,25.51,145.9,2.34,9.73
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,4,16,178.51,49.42,0.79,19.77
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,4,32,112.8,78.21,1.25,31.29
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,4,64,109.6,80.5,1.29,32.21
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,4,128,103.12,85.55,1.37,34.23
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,8,16,90.52,97.45,1.56,19.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,8,32,62.64,140.83,2.25,28.18
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,8,64,52.76,167.21,2.68,33.45
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,8,128,61.17,144.23,2.31,28.86
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,16,16,84.95,103.84,1.66,10.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,16,32,58.21,151.56,2.43,15.16
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,16,64,50.06,176.23,2.82,17.63
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,16,128,53.55,164.74,2.64,16.48
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,24,16,89.2,98.91,1.58,6.6
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,24,32,56.5,156.14,2.5,10.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,24,64,50.86,173.46,2.78,11.57
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16400,1,1,24,128,57.66,153.01,2.45,10.2
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,4,16,222.34,39.56,0.63,15.84
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,4,32,257.87,34.11,0.55,13.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,4,64,265.17,33.17,0.53,13.28
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,4,128,270.18,32.56,0.52,13.03
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,8,16,121.47,72.41,1.16,14.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,8,32,149.0,59.03,0.95,11.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,8,64,151.63,58.01,0.93,11.61
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,8,128,169.43,51.91,0.83,10.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,16,16,130.99,67.15,1.08,6.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,16,32,156.39,56.24,0.9,5.63
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,16,64,137.68,63.89,1.02,6.39
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,16,128,162.72,54.06,0.87,5.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,24,16,123.38,71.29,1.14,4.76
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,24,32,135.1,65.11,1.04,4.34
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,24,64,123.84,71.03,1.14,4.74
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-tile,16384,1,1,24,128,155.08,56.72,0.91,3.78
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,4,16,1.06,130.03,2.09,52.29
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,4,32,0.87,158.16,2.54,63.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,4,64,1.29,106.21,1.71,42.72
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,4,128,1.03,133.31,2.14,53.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,8,16,0.53,258.34,4.16,51.95
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,8,32,0.52,263.29,4.24,52.95
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,8,64,0.65,212.1,3.41,42.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,8,128,0.64,215.76,3.47,43.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,16,16,0.71,194.4,3.13,19.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,16,32,0.64,215.76,3.47,21.69
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,16,64,0.69,198.32,3.19,19.94
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,16,128,0.69,198.61,3.2,19.97
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,24,16,0.6,230.6,3.71,15.46
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,24,32,0.48,285.14,4.59,19.11
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,24,64,0.58,236.96,3.81,15.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4096,1,1,24,128,0.6,228.68,3.68,15.33
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,4,16,2.87,48.05,0.77,19.26
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,4,32,2.28,60.4,0.97,24.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,4,64,1.98,69.58,1.12,27.89
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,4,128,1.95,70.76,1.13,28.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,8,16,1.48,92.89,1.49,18.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,8,32,1.02,135.01,2.16,27.06
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,8,64,1.16,118.32,1.9,23.71
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-tile,4100,1,1,8,128,1.06,129.92,2.08,26.04
