CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,8200,1,1,8,-,28.58,38.58,0.62,7.72
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,8200,1,1,16,-,25.73,42.86,0.69,4.29
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,8200,1,1,24,-,17.0,64.87,1.04,4.33
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12288,1,1,4,-,182.0,20.39,0.33,8.15
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12288,1,1,8,-,95.78,38.74,0.62,7.74
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12288,1,1,16,-,89.55,41.44,0.66,4.14
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12288,1,1,24,-,59.58,62.29,1.0,4.15
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,4,-,167.68,22.19,0.36,8.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,8,-,96.72,38.48,0.62,7.7
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,16,-,90.45,41.15,0.66,4.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,12300,1,1,24,-,58.95,63.13,1.01,4.21
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,4,-,461.0,19.14,0.31,7.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,8,-,233.97,37.71,0.6,7.54
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,16,-,216.38,40.77,0.65,4.08
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16400,1,1,24,-,144.86,60.9,0.97,4.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16384,1,1,4,-,453.7,19.39,0.31,7.76
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16384,1,1,8,-,238.89,36.82,0.59,7.37
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16384,1,1,16,-,220.67,39.86,0.64,3.99
12th Gen Intel(R) Core(TM) i9-12900K,icc,omp-ikj,16384,1,1,24,-,143.79,61.17,0.98,4.08
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4096,1,1,4,-,1.23,112.2,1.8,45.12
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4096,1,1,8,-,0.64,215.08,3.46,43.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4096,1,1,16,-,0.52,261.79,4.21,26.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4096,1,1,24,-,0.5,277.65,4.47,18.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,4,-,0.69,198.91,3.19,79.73
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,8,-,0.39,354.35,5.68,71.02
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,16,-,0.35,391.6,6.28,39.24
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,4100,1,1,24,-,0.4,348.97,5.59,23.31
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8192,1,1,4,-,10.29,106.89,1.71,42.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8192,1,1,8,-,5.73,191.79,3.07,38.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8192,1,1,16,-,4.74,232.06,3.72,23.24
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8192,1,1,24,-,4.7,233.74,3.75,15.6
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,4,-,5.75,191.81,3.07,76.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,8,-,3.59,306.83,4.91,61.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,16,-,3.53,312.21,5.0,31.23
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,8200,1,1,24,-,3.34,330.26,5.29,22.03
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12288,1,1,4,-,32.69,113.52,1.81,45.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12288,1,1,8,-,17.98,206.42,3.3,41.24
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12288,1,1,16,-,15.37,241.39,3.86,24.11
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12288,1,1,24,-,14.88,249.39,3.99,16.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,4,-,16.62,223.9,3.59,89.63
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,8,-,10.38,358.69,5.74,71.79
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,16,-,11.33,328.54,5.26,32.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,12300,1,1,24,-,11.38,327.07,5.24,21.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,4,-,50.12,176.03,2.82,70.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,omp-ikj,16400,1,1,8,-,30.0,294.05,4.71,58.83
