CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,12300,1,1,1,128,161.45,23.05,3.55
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,16,651.65,13.54,2.08
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,32,442.07,19.96,3.07
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,64,430.51,20.49,3.15
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16400,1,1,1,128,403.76,21.85,3.36
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,16,839.33,10.48,1.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,32,949.23,9.27,1.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,64,968.41,9.08,1.41
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-tile,16384,1,1,1,128,856.19,10.27,1.59
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,16,3.45,39.83,5.7
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,32,4.93,27.86,3.99
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,64,11.91,11.54,1.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,128,11.24,12.22,1.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,16,3.96,34.83,4.79
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,32,3.82,36.06,4.96
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,64,4.57,30.14,4.15
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,128,6.62,20.81,2.86
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,16,32.7,33.63,5.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,32,93.49,11.76,1.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,64,134.19,8.19,1.27
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,128,87.56,12.56,1.94
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,16,33.12,33.3,4.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,32,30.57,36.08,5.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,64,28.81,38.27,5.3
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,128,48.06,22.94,3.18
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,16,98.2,37.79,5.8
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,32,132.69,27.97,4.29
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,64,321.24,11.55,1.77
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,128,299.41,12.39,1.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,16,105.71,35.21,5.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,32,95.71,38.88,5.98
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,64,97.29,38.25,5.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,128,122.78,30.31,4.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,16,315.1,27.92,4.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,32,881.09,9.98,1.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,64,960.84,9.15,1.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,128,744.12,11.82,1.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,16,298.82,29.52,4.54
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,32,253.53,34.8,5.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,64,255.23,34.56,5.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,128,419.48,21.03,3.24
