CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8192,1,1,24,-,71.1,15.46,2.39,9.96
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,4,-,88.5,12.46,1.73,43.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,8,-,72.51,15.21,2.11,26.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,16,-,72.9,15.13,2.09,13.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,8200,1,1,24,-,73.3,15.04,2.08,8.67
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,4,-,315.57,11.76,1.8,45.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,8,-,246.9,15.03,2.31,28.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,16,-,243.82,15.22,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12288,1,1,24,-,241.4,15.37,2.36,9.83
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,4,-,317.78,11.71,1.8,45.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,8,-,248.09,15.0,2.31,28.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,16,-,247.73,15.02,2.31,14.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,12300,1,1,24,-,240.93,15.45,2.38,9.92
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,4,-,698.55,12.63,1.94,48.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,8,-,589.6,14.96,2.3,28.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,16,-,583.87,15.11,2.33,14.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16400,1,1,24,-,571.81,15.43,2.37,9.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,4,-,692.49,12.7,1.97,49.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,8,-,584.16,15.06,2.33,29.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,16,-,582.01,15.11,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-ikj,16384,1,1,24,-,568.65,15.47,2.4,10.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,4096,1,1,4,-,8.69,15.82,2.27,56.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,4096,1,1,16,-,8.64,15.91,2.28,14.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,4100,1,1,4,-,8.72,15.8,2.17,54.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,4100,1,1,16,-,8.82,15.63,2.15,13.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,8192,1,1,4,-,85.33,12.89,1.99,49.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,8192,1,1,16,-,70.81,15.53,2.4,15.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,8200,1,1,4,-,80.62,13.68,1.89,47.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,8200,1,1,16,-,71.24,15.48,2.14,13.38
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,12288,1,1,4,-,279.38,13.28,2.04,51.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,12288,1,1,16,-,239.51,15.49,2.38,14.88
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,12300,1,1,4,-,277.32,13.42,2.06,51.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,12300,1,1,16,-,242.93,15.32,2.36,14.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,16400,1,1,4,-,679.17,12.99,2.0,50.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,16400,1,1,16,-,560.88,15.73,2.42,15.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,16384,1,1,4,-,681.08,12.91,2.0,50.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-cannon,16384,1,1,16,-,562.44,15.64,2.42,15.12
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4096,1,1,4,-,8.98,15.31,2.19,54.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4096,1,1,16,-,8.68,15.84,2.27,14.19
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4100,1,1,4,-,8.92,15.46,2.13,53.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,4100,1,1,16,-,8.79,15.68,2.16,13.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8192,1,1,4,-,80.54,13.65,2.11,52.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8192,1,1,16,-,73.58,14.94,2.31,14.44
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8200,1,1,4,-,87.94,12.54,1.74,43.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,8200,1,1,16,-,72.29,15.25,2.11,13.19
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12288,1,1,4,-,301.96,12.29,1.89,47.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12288,1,1,16,-,250.29,14.83,2.28,14.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12300,1,1,4,-,276.83,13.44,2.07,51.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,12300,1,1,16,-,245.92,15.13,2.33,14.56
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16400,1,1,4,-,666.98,13.23,2.04,51.0
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16400,1,1,16,-,578.02,15.26,2.35,14.69
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16384,1,1,4,-,688.98,12.77,1.98,49.5
12th Gen Intel(R) Core(TM) i9-12900K,icc,mpi-summa,16384,1,1,16,-,571.05,15.4,2.39,14.94
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,4,64,0.74,185.48,26.57,664.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,8,64,0.51,271.62,38.91,486.37
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,16,64,0.46,299.43,42.89,268.06
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,24,64,0.52,264.31,37.86,157.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,4,64,0.72,192.25,26.45,661.25
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,8,64,0.48,287.17,39.5,493.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,16,64,0.45,305.64,42.04,262.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,24,64,0.44,313.28,43.1,179.58
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,4,64,5.65,194.5,30.11,752.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,8,64,3.62,303.65,47.01,587.62
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,16,64,3.36,327.72,50.74,317.12
