CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,24,-,17.08,516.35,8.26,34.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,4,-,36.17,243.17,3.89,97.36
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,8,-,18.77,468.5,7.5,93.79
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,16,-,17.66,497.94,7.97,49.84
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16384,1,1,24,-,17.9,491.32,7.87,32.78
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,1,-,2.26,60.91,0.98,97.66
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,1,-,17.7,62.28,1.0,99.69
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,12300,1,1,1,-,59.75,62.28,1.0,99.73
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,16400,1,1,1,-,141.64,62.28,1.0,99.69
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,4100,1,1,2,-,1.15,119.97,1.92,96.17
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,8200,1,1,2,-,8.93,123.43,1.98,98.78
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,12300,1,1,2,-,30.15,123.43,1.98,98.82
12th Gen Intel(R) Core(TM) i9-12900K,icc,mkl-omp,16400,1,1,2,-,71.47,123.43,1.98,98.78
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,4100,1,1,1,-,2.32,59.47,0.95,95.34
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,1,-,17.76,62.11,0.99,99.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,1,-,59.92,62.11,0.99,99.44
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,1,-,142.04,62.11,0.99,99.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,4100,1,1,2,-,1.15,120.18,1.93,96.34
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,8200,1,1,2,-,8.94,123.29,1.97,98.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,12300,1,1,2,-,30.19,123.29,1.97,98.7
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-omp,16400,1,1,2,-,71.55,123.29,1.97,98.67
