CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,4,64,0.741,185.4777,26.5682,6.6421
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,8,64,0.506,271.6185,38.9071,4.8634
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,16,64,0.459,299.4313,42.8911,2.6807
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4096,1,1,24,64,0.52,264.3057,37.8596,1.5775
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,4,64,0.717,192.2483,26.4463,6.6116
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,8,64,0.48,287.1708,39.5042,4.938
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,16,64,0.451,305.6364,42.0443,2.6278
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,4100,1,1,24,64,0.44,313.2773,43.0955,1.7956
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,4,64,5.653,194.5006,30.1137,7.5284
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,8,64,3.621,303.6486,47.0127,5.8766
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,16,64,3.355,327.7233,50.7401,3.1713
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8192,1,1,24,64,3.333,329.8865,51.075,2.1281
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,4,64,5.539,199.0858,27.5716,6.8929
12th Gen Intel(R) Core(TM) i9-12900K,icc,scalapack,8200,1,1,8,64,3.519,313.3663,43.3984,5.4248
